source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1729	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1730	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1731	Артакс.действо			1672	1674					+					
1732	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1733	Артакс.действо			1672	1674					+					
1734	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1735	Артакс.действо			1672	1674					+					
1736	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1737	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1738	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1739	Артакс.действо			1672	1674					+					
1740	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1741	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1742	Артакс.действо			1672	1674					+					
1743	А.Кашин.I			1612	1677					+					
1744	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1745	Артакс.действо			1672	1674					+					
1746	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1747	Бхн., Кн.п.Балахн.			15						+					
1748	Гб., Гебд.			1659	1661					+					
1749	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1750	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1751	Аз.п., Аз.П., Аз.пов.			17	17					+					
1752	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1753	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1754	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1755	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1756	Аз.п., Аз.П., Аз.пов.			17	17					+					
